id,name,price,unit,category,top_category,subcategory,category_url,image_url
p00044,Manorma Desi Cow's Bilona A2 Ghee,1199,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00045,Mother Dairy Cow Ghee,156,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00046,Patanjali Cow Ghee,178,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00047,Amul Pure Ghee Pack,142,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00048,Aashirvaad Svasti Pure Cow Ghee,512,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00049,Mother Dairy Pure Cow Ghee,642,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00050,Gowardhan Cow Ghee,789,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00051,Paras Desi Ghee,609,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00052,Country Delight Buffalo Ghee - Pack of 2,1149,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00053,Country Delight Buffalo Ghee,579,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00054,Gowardhan Pure Cow Ghee,783,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00055,Madhusudan Desi Ghee,124,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00056,Anveshan Desi Cow A2 Ghee - Bilona Churned,198,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00057,Verka Desi Ghee,648,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00058,A TATA Product - Organic India Pure Organic Cow Ghee,669,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00059,Swiss Beauty Long Lasting Natural Makeup Fixer,237,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00060,L'Oreal Paris Infallible 3-Second Setting Makeup Fixer,720,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00061,Hilary Rhoda Ultimate Makeup Fixer (Transparent),160,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00062,Faces Canada Ultime Pro Makeup Fixer,189,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00063,Swiss Beauty Select High On Glow Dewy Makeup Fixer,504,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00064,MARS Cosmetics Seal the Deal Makeup Fixer,246,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00065,Blue Heaven Long Lasting Makeup Fixer,201,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00066,RENEE Natural Makeup Fixer,345,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00067,Swiss Beauty Matte Makeup Fixer,246,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00068,RENEE Bollywood Filter Blurring Setting Spray (Clear),369,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00069,Faces Canada Ultime Pro Strobe Makeup Fixer (Rose Gold),289,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00070,Maybelline New York Fit Me Matte + Poreless Setting Spray,630,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00071,Insight Cosmetics Makeup Fixer Spray,228,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00072,RENEE Everyday Makeup Fixer,195,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00073,Lakme 9To5 Hya Beach Edit Makeup Fixer / Mist,540,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00074,Daily life FOREVER52 Fix Quickly Makeup Fixer Spray (Transparent- NSM001),498,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00075,Swiss Beauty Select Prep Set Matte Makeup Fixer,360,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
