name,price,unit,category,subcategory,category_url,image_url
Country Delight Buffalo Ghee - Pack of 2,1149,,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
Country Delight Buffalo Ghee,579,,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
Gowardhan Pure Cow Ghee,783,,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
Madhusudan Desi Ghee,124,,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
Anveshan Desi Cow A2 Ghee - Bilona Churned,198,,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
Verka Desi Ghee,648,,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
A TATA Product - Organic India Pure Organic Cow Ghee,669,,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
Swiss Beauty Long Lasting Natural Makeup Fixer,237,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
L'Oreal Paris Infallible 3-Second Setting Makeup Fixer,720,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Hilary Rhoda Ultimate Makeup Fixer (Transparent),160,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Faces Canada Ultime Pro Makeup Fixer,189,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Swiss Beauty Select High On Glow Dewy Makeup Fixer,504,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
MARS Cosmetics Seal the Deal Makeup Fixer,246,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Blue Heaven Long Lasting Makeup Fixer,201,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
RENEE Natural Makeup Fixer,345,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Swiss Beauty Matte Makeup Fixer,246,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
RENEE Bollywood Filter Blurring Setting Spray (Clear),369,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Faces Canada Ultime Pro Strobe Makeup Fixer (Rose Gold),289,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Maybelline New York Fit Me Matte + Poreless Setting Spray,630,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Insight Cosmetics Makeup Fixer Spray,228,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
RENEE Everyday Makeup Fixer,195,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Lakme 9To5 Hya Beach Edit Makeup Fixer / Mist,540,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Daily life FOREVER52 Fix Quickly Makeup Fixer Spray (Transparent- NSM001),498,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Swiss Beauty Select Prep Set Matte Makeup Fixer,360,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
RENEE Makeup Fix Setting Spray,345,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
